objectid,isbn
235627,4010168232201
2741,1556345623
230303,3558380049166
917,1223063097
213099,3558380045090
28874,1589943503
27356,1932697527
135281,2914849907
13456,1565042743
56954,9781616611606
56954,161661160X
24480,3440691535
112,1589943376
18258,2914849397
119591,1938146964
31435,1933362219
89801,1589949412
244654,9781472826954
244654,1472826957
214,0786918403
1324,0786918403
13308,1892081997
16992,1590413423
40793,3760146641822
124668,3492700764
4396,1472815033
192074,1472815033
142055,3760162392333
166327,1616619635
137669,1616615478
9674,3259061797
172589,1633440125
193320,3760175512902
177078,163344130X
10873,1589941594
40783,1616616040
66598,1616612134
76095,1589949382
88429,1589949404
89802,1589949560
122241,0984608060
216985,3760269590014
195903,153066330X
1713,1560381116
14087,1556347391
38777,1589946480
191865,3770002176801
160556,1616619260
140944,1616616075
144780,1616616105
152141,1616618221
161930,1616619562
93724,1588464687
93724,1589949056
17133,0976824906
5,0786950072
85720,1589949730
166001,1633440575
20055,158994237X
20055,1589942760
154427,1616617470
17970,0786948817
187046,1633441830
9665,1589780507
35488,3473676896
10640,1589941810
255332,1940825865
1933,0307050602
18289,160125072X
55829,078696250X
63268,2914849788
94362,1616610964
3502,1565049926
125053,0980209218
135222,1616613831
212027,1938146026
58,3930635259
257,3934282776
182351,193814631X
268687,1907964274
10904,0471536210
66126,1572817216
158616,4010350100820
157126,1616617799
1677,1556343485
159868,1936920360
195902,1530991153
240,1589942418
12995,2914849435
114983,1616613467
131751,1616614072
162570,1616619619
125548,193692014X
290359,1472837312
5620,0912515236
175286,1633441172
17,3934282326
62853,098415583X
66362,3939794996
157643,0718137094
13454,1929780281
175287,1633441199
286261,1947941232
180302,1633441814
8170,3930635968
181114,1938146433
231197,4015566026223
28,3937826408
859,3937826408
148203,0004983289
1258,3473670189
7682,1572813083
137847,1616613858
4394,3440691411
136223,1938146980
2771,1589940652
112445,0985914807
4385,3880340919
139591,1616613866
150639,1616617918
152760,1616617926
155138,1616617942
163696,1616619627
170277,161661966X
187047,1633441849
193529,1633441865
231942,1941816347
143884,4002051692322
173156,3558380029014
71099,158994934X
214879,1936920557
106666,1616612053
127715,1616610913
13809,2914849443
14533,2914849451
20435,291484946X
170415,1938146573
12194,1556347359
177868,1942755066
42432,097965856X
193614,8032611691126
83268,2914849923
83268,3558380009832
83268,2914849974
69761,0984171339
226146,0974646105
4103,3440694518
41811,1616610948
112233,0988047403
50,1892081237
180543,1936920514
21654,2914849427
22198,1589942892
133993,5425016921128
19727,1594590591
24410,0977975606
25491,4010350603871
503,1589942140
20963,158994237X
20963,1589942760
178820,1941816053
176558,3558380028864
200847,5425016921302
36946,1616610638
1426,3440680819
4610,344068931X
6608,3440692515
142555,1617682845
152510,1617683264
230508,1589934369
27884,1590414500
13751,393782619X
268600,1841548634
200936,1452151768
249,0965842231
216033,0992126878
38025,158994464X
