gameid,url,price,currency,enabled,show_from
336986,https://jandjgamingfactory.com/products/flamecraft?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,1,1
162886,https://jandjgamingfactory.com/products/spirit-island?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,59.46,USD,0,1
254719,https://jandjgamingfactory.com/products/escape-the-dark-castle-scourge-of-the-undead-queen?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,0,1
254720,https://jandjgamingfactory.com/products/escape-the-dark-castle-blight-of-the-plague-lord?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,1,1
368432,https://jandjgamingfactory.com/products/the-fox-experiment?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.56,USD,1,1
285905,https://jandjgamingfactory.com/products/marvel-crisis-protocol?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,77.32,USD,1,1
40381,https://jandjgamingfactory.com/products/modern-art-the-card-game?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,1,1
155426,https://jandjgamingfactory.com/products/castles-of-mad-king-ludwig-second-edition?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,53.16,USD,1,1
170216,https://jandjgamingfactory.com/products/blood-rage?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,68.39,USD,1,1
326358,https://jandjgamingfactory.com/products/cryptid-cafe?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,1,1
308762,https://jandjgamingfactory.com/products/mystic-vale-esssential-edition?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,68.39,USD,0,1
322561,https://jandjgamingfactory.com/products/dice-throne-season-one-rerolled-box-1-barbarian-v-moon-elf?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,22.79,USD,1,1
244992,https://jandjgamingfactory.com/products/the-mind?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,9.84,USD,0,1
367385,https://jandjgamingfactory.com/products/tesseract?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,41.79,USD,0,1
351040,https://jandjgamingfactory.com/products/ready-set-bet?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,1,1
270737,https://jandjgamingfactory.com/products/destroy-these-cards?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,20.37,USD,1,1
361198,https://jandjgamingfactory.com/products/monster-hunter-world-the-board-game-hunters-arsenal-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,41.79,USD,0,1
361200,https://jandjgamingfactory.com/products/monster-hunter-world-kushala-daora-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,60.79,USD,0,1
367515,https://jandjgamingfactory.com/products/coraquest-keep-on-questing-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.6,USD,1,1
280794,https://jandjgamingfactory.com/products/etherfields-core?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,105.64,USD,0,1
163412,https://jandjgamingfactory.com/products/patchwork?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.59,USD,0,1
