objectid,mfgid
144574,MMP-LoB-02
178896,MMP-9-01
237171,OMG00102
246639,LK3543
246639,MFG3543
246532,02708CZE
246532,CZE027084
5086,FBA_4047
5086,4047
240,FFGVA19
551,1
551,HAS41325
701,4098736
33665,MMP-GBACW08
3409,GMTNapoleonicWars2E
36399,GMTNapoleonicWars2E
66855,GMT1313
66855,1313-18
67492,BW01
99131,VPGTheAlamoRemembered
145976,1511_SML
145976,68944
165967,Hexa-??
249590,GMT1908
137031,PCGAT02
229941,LAU00077
281259,TCOK601
183251,300932
270314,PAN202013
271869,426
271869,SUSHI_ROLL
143519,FNFQTMUS02
2243,HAS00117
2281,55845
2281,0074299558450
171046,PCGAT03
182028,CGE00032
255670,GRPR103
255681,STG07203
218791,MCG0004
125099,STG01003
1602,49-9213
15511,0655132002691
15511,269RGG
163068,APE2500
147505,101445
76417,ZMG7070
76417,"ZMG 7070"
117,4102985
154414,331052
34635,ZMG71260
34635,ZM7260
211534,BVB-CORE
218509,RRG00017
224710,GUF034
224710,GUGGUF034
35677,MFG3518
224904,PFX700
89976,ASMBUG01
89976,1BUG01LU001ASM
313919,93965
302723,PH2900
284435,SDGNOVLUN01
257673,558
257673,RGG558
191989,77255
128271,PA006
128271,PA006SEP12
15511,48151
2471,54000G
122316,DOW790011
122316,"DOW 790011"
195137,ELZ1000
36648,4751010190682
36648,BGP5496
181236,ZM001
280833,CGE00056
280833,CGE00057
133704,FFGGOT93
173251,GMT1604
1188,FFGSL04
1188,SL04
24225,494
70324,ZMG7051
70324,"ZMG 7051"
174584,PSGOMD-O
181382,3602
200351,SAGPS1
287247,TTT3009U4
22605,77276
275785,HB006-572-001900-06
188866,INVEST
86048,Q60823
139991,61131QNG
202408,CGE00037
207121,DO7922
207336,LAU00054
248562,51844G
251678,54532931
272409,GLGTET
272409,GAMTET
279537,RGS02079
550,685911
202976,SEV09
181293,POP00369
23094,FFGHB04
37302,VTNHBEZ
111732,332351
111732,1009TTT
143176,1016TTT
39345,SCS5-14
46255,4058
163831,gg886
202100,B0761SP3W3
202100,60344
19419,278F
19419,278RGG
180771,APR160482
175156,83867
182692,83867
85037,GOSU02
166107,GRL1142
166918,JPG42007
166919,JPG42009
166920,JPG42012
166921,JPG42011
63888,ASI-0150
216734,600ROX
216734,1988884179
214484,54066
155463,JUN142618
173294,WZK72029
72848,APE1200
60,VIN
221,4720
18100,ABA04051
181158,COLT02ASM
181158,COLT02
130176,PB1159
130176,"I 51159"
141517,TRFR96757
141517,GFG96757
178054,TRFR96757
178054,GFG96757
150999,AEG5381
150999,5381
156776,WHK01
235488,7024AEG
245961,74161
111172,WGG01201
131188,DOW720117
131188,DO7217
21920,9020
17450,FLG013
126025,DV1-027
126025,SG_B00B7UPXRC_US
904,A33
33160,7033
33160,7033ZMG
22606,1406
54998,MATSCYC1
77130,FFGCI01
77130,CI01
169426,twk2000
270633,IBGAENA1
221194,PAN7047
221194,PAN201703
2453,BJV44
17329,HA-930
17329,3678
2452,"FBA_285 A2120"
2452,53557
266524,KYM0501
298729,KYM05X1
298729,05X01KYM
193840,2013SG
297978,ALD08070
148949,AEG5809
148949,5809
31260,MFG3515
200680,MFG3515
172933,CSG-DRAGONW
257501,KF01
257606,KF01
42448,ASI99210
42448,"ASI 0005"
159500,ASI99210
159500,"ASI 0005"
113924,GUG001
1111,8395000
1111,14677
2379,7088600
2379,4257
2582,43221-5955
10934,41430
18803,0626570600596ING
18803,BLS1EKIK
252929,7700
296226,TPSBun2-Nov19
260410,SFHZD-001
233371,RGS00594
294345,NMG60012
153064,OWG0303
169786,STM600
253574,FLF-CKB001
253574,FLFCKB001
2394,GDOM-001
209660,QXG1002
266192,STM910
291457,CPH0501
27364,42600718755556
27364,312RGG
8166,MFG3302
205716,AD03
40990,OBG1793
40990,1792
180198,1204D
180198,1204
160432,2011TTT
304728,DC096-712-002000-04
50750,TTT1006
50750,1006TTT
92539,ASMSEVUS02
92539,SEV02
108667,RGG462
108667,462RGG
43018,7026E
43018,7026-EZMG
73833,LKG036
73833,"LOG 36"
85704,ZMG7026F
85704,7026-E2ZMG
103183,332627
103183,"ZMG 37026"
251247,BARG01
251247,CC213
42,FFGKN25
16267,RIO273
104557,RGG454
104557,"RGG 454"
146652,82438
304285,MZ01en
257321,PH2300
257321,PHG2300
191963,ZMG41290
191963,ZM1290
40849,ZM7111
242574,PBG40030
242574,PBG40030EN
103660,RSTR-VJDG
139899,RSTR-VJDG
13004,MFG4125 
13004,MF4125
30380,340
30380,340RGG
69789,10060
69789,"GGS 001"
72321,FF-NETW01
116998,AEG5018
116998,"AEF 5018"
170624,TTT1022
18602,75136
18602,281RGG
764,CFX45
1258,MATW5800
1258,W5800
1298,B8613
1748,41227
1751,044070-00110
1751,1995
1797,1087
1923,37005
1931,1851
2004,01912
2004,1912
2136,1
2386,CHH
2425,A3264
2456,LTR04
2679,4657
2921,C3893
2952,44951
3052,801
3052,0195-801MFG-850
3074,1134
3510,1011
3510,1923
3728,37092999K-UP
3728,37092
3737,04545
3737,4545
4149,004056
4367,4098684
4724,1
4888,4784S5
4888,4784
5048,HG-A4813
5048,A4813
5050,1880
5050,82964
5339,4919XXXX
5339,"0441 S5"
5432,4555
5432,"4555 S5"
5588,A4754
5749,4850G-X1
5749,4850
5894,"WMG 1178"
5894,1178
5895,004533
5895,04533079
6424,4365
6546,1163G
6932,A4755
7262,017978
7316,TM-BINGO
7688,HGA4757B3
7688,4263
9851,4377
10799,EE-013
10799,PCOM
10816,10-3010
10816,43018
11017,EE-272
11017,PCCE
11901,GP415
12205,106
23964,"WMG 1140"
23964,1140
182875,MFG3510
240855,TWK4000
156501,33SMG
438,261178
438,MN017-109
119622,na
167355,NEM01
167355,REBNEMENP012019
26566,TTT1002A
26566,1002TTT
17329,4478
245271,CSG-FORS
276894,DO7261
276894,DOW720061
292564,26842
302388,48720
503,KN28
